ISO 639-3	Population
crz	No known L1 speakers.
crx	680 (FPCC 2014). 1,380 semi-speakers (FPCC 2014). Ethnic population: 9,350 (FPCC 2014).
cry	1,000 (2004).
crc	1,200 (Lynch and Crowley 2001).
cra	13,770, all users. L1 users: 13,100 (2010 UNSD). L2 users: 670. 5,560 monolinguals.
crf	No known L1 speakers.
crg	75 (2010 census), decreasing. 0. Total users in all countries: 725.
crd	2 (Watanabe and Sasama 2007). Ethnic population: 80 (2000 census).
cre	87,220 A macrolanguage. Population total all languages: 87,220
crj	7,310 (1997 MSSS).
crk	34,000 (1982 SIL). Ethnic population: 53,000. Total users in all countries: 34,100.
crh	260,000 (2006 A. Goriainov). Total users in all countries: 573,540.
cri	68,800 (2015 World Factbook). Total users in all countries: 79,400.
crn	5,370 (2000 INALI).
cro	3,960 (2010 census), decreasing. Ethnic population: 8,500 (Golla 2007).
crl	5,310 (1997 MSSS).
crm	3,000 (Golla 2007). Ethnic population: 5,000 (1982 SIL).
sew	1,520 (1972 census). 300 monolinguals.
sev	60,000 (2009 L. Boese).
seu	1,200 (1987 SIL).
set	30,000 (1996 SIL), increasing. Few monolinguals.
ses	430,000 (2007 SIL), increasing. 300,000 monolinguals (2007 SIL). Ethnic population: 850,000.
ser	5 (2010 census).
seq	50,000 (1995 SIL). All Senoufo languages: 173,000 (2009 UNSD).
sep	35,000 (1999 SIL). All Senoufo languages: 173,000 (2009 UNSD). Total users in all countries: 38,000.
sez	33,000 (2007 SIL).
sey	490 (2012 UNSD). A few elderly monolinguals (2007 M. Johnson). Total users in all countries: 1,170.
seg	7,000, decreasing. Ethnic population: 15,000.
sef	862,000 (1993 SIL).
see	100 (Golla 2007). Ethnic population: 900 (2000 census). 6,240 (1997 W. Chafe).
sed	97,000 (Bradley 2007b). Total users in all countries: 97,520.
sec	4 (FPCC 2014). 34 semi-speakers (FPCC 2014). 0. Ethnic population: 1,200 (FPCC 2014).
seb	100,000 (1996). Total users in all countries: 114,800.
sea	10,000 (Bradley 2007b). Ethnic population: 42,400 (2008 JHEOA).
seo	140 (2000 S. Wurm).
sen	50,000 (1985 census). All Senoufo languages: 173,000 (2009 UNSD).
sel	1,020 (2010 census). Central Selkup: 200 speakers, Northern Selkup: 1,000 to 1,500 speakers, Southern Selkup: less than 100 speakers (Salminen 2007). Ethnic population: 3,900 (2010 census).
sek	30 (FPCC 2014). 240 semi-speakers (FPCC 2014). 0 (Golla 2007). Ethnic population: 1,410 (FPCC 2014).
sej	No known L1 speakers.
sei	900 (2007 SIL).
seh	1,370,000 (2014).
zkn	9,000 (2007 SIL). No monolinguals.
zkd	30,000 (2007 SIL), decreasing. Over 30 villages in Mawteik dialect (nearly extinct); over 30 villages in Settaw dialect; 5 villages in Mawkhwin dialect. No monolinguals.
zka	2,200 (2005 SIL).
zku	No known L1 speakers, but emerging L2 speakers. Last speaker died in 1929 (2015 R. Amery).
zkp	No known L1 speakers.
zkr	600 (Bradley 2007a). Total users in all countries: 900.
swt	3,000 (Grimes et al 1997).
pdu	133,000 (2005 E. Phan). Total users in all countries: 133,180.
pdt	80,000 (Salminen 2007). Total users in all countries: 447,360.
pdo	5,000 (1991 P. Vuorinen).
pdn	280 (2005 SIL).
sww	20 (2011 SIL).
pdi	1,000. Total users in all countries: 1,300.
pdc	118,000 (2010 census), increasing. Ethnic population: 200,000 (Kloss and McConnell 1981). Total users in all countries: 133,000.
pda	1,070 (2003 SIL).
xay	1,300 (Wurm and Hattori 1981).
xar	No known L1 speakers.
xas	No known L1 speakers. The last speaker died in 1989 (Salminen 2007).
xat	10 (Moore 2006). Ethnic population: 250 (Moore 2006).
xau	400 (1987 SIL).
xav	9,600 (Moore 2006). 7,000 monolinguals.
xaw	5 (2005 J. Turner). Ethnic population: 150 (2005 J. Turner).
xai	No known L1 speakers. Ethnic population: 1,100 (1986 SIL).
xaj	No known L1 speakers (Campbell and Grondona 2012).
xak	No known L1 speakers (2015). Total users in all countries: none known.
xal	80,500 (2010 census). Ethnic population: 183,000 (2010 census). Total users in all countries: 360,800.
xam	No known L1 speakers.
xan	224,000, all users. L1 users: 213,000 (2010 UNSD). L2 users: 11,000. 93,900 monolinguals.
xao	10,000 (Wurm and Hattori 1981).
xab	6 (Blench 2003).
xac	59,000 (IMA 1997).
nrk	18 (2012 AUSTLANG).
nri	83,600 (2001 census).
nrm	Ethnic population: 4,000. Population includes about 1,000 Bakong, 1,000 Dali’, and 1,000 Miri’ (2012 SIL).
nrl	26 (2006 census).
nrb	108,000 (2010 J. Leclerc), increasing.
nra	8,240 (2000). Total users in all countries: 12,770.
nrg	160 (Wurm and Hattori 1981). Ethnic population: 230.
nrf	1,700 (2011 census). Ethnic population: 45,380 Norman French ethnic population in the Channel Islands (2014 A. Stuart). Total users in all countries: 18,920.
nre	21,000 (1997). 61,345 total Rengma (2001 census).
nrz	3,000 (2007 SIL).
nrx	No known L1 speakers.
nrr	No known L1 speakers.
nru	47,000 (2010 SIL). Ethnic population: 47,000.
mlb	110 (2009 SIL). No monolinguals.
mlc	169,000 (2009 census).
mla	4,000 (Lynch and Crowley 2001), increasing.
mlf	23,200 (1995 census). Total users in all countries: 26,700.
mlg	18,138,380 A macrolanguage. Population total all languages: 18,138,380
mle	2,110 (2003 SIL).
mlj	270 (1993 census).
mlk	16,800 (2009 census), increasing.
mlh	1,700 (2000 census). Ethnic population: 7,000.
mli	5,000 (1986 SIL).
mln	4,140 (1999 SIL).
mlo	6,200 (2015 J. Leclerc).
mll	500 (Lynch and Crowley 2001). Ethnic population: 715 (2001).
mlm	86,000 (2005 GXLOUS). Fewer than 10,000 monolinguals (including women and preschool children). Ethnic population: 210,000 (2000 census).
mlr	8,500 (1992 SIL). Few monolinguals.
mls	350,000 (2011 SIL). Total users in all countries: 440,000.
mlp	3,750 (2003 SIL). Ethnic population: 6,640 (2000 census).
mlq	1,300,000 (2015 J. Leclerc). Total users in all countries: 1,733,000.
mlv	1,800 (2007 A. François), increasing.
mlw	8,500 (1992 SIL).
mlt	393,000 (European Commission 2012). Total users in all countries: 474,310.
mlu	12,600 (1999 SIL).
mlz	8,500 (1973 SIL).
mlx	600 (1983 SIL).
psh	100,000 (2011 SIL).
vot	68 (2010 census). Last speakers of East Vod dialect died in the 1960s. Ethnic population: 73.
amj	41,100 (2000). Population lower in Wadi Fira (home region) than in Batha and Ouaddaï regions.
vor	
psn	800 (2004 SIL). Ethnic population: 800.
pso	38,000 (2014 IMB). 50,000 signers (2014 EUD).
psl	8,000–40,000 deaf persons (Van Cleve 1986).
psm	No known L1 speakers. Ethnic population: 46 (Adelaar 2004).
psa	6,500 (2002 SIL).
rdb	
psd	75 in United States (2015 M. McKay-Cody), all users. Total users in all countries: 75.
pse	1,590,000 (2000 census).
knn	2,420,000 (2001 census). Total users in all countries: 2,423,540.
kno	295,000, all users. L1 users: 270,000 (2016). L2 users: 25,000 (1981 D. Cranmer).
knl	32,000 (2007 SIL).
knm	1,330 (Moore 2006). 100 Tsohom-Djapa speakers (Crevels 2007). Ethnic population: 2,750 (2006 FUNASA).
knj	48,500 (1998). Total users in all countries: 58,130.
knk	356,000 (2016). Total users in all countries: 411,200.
kni	10,400 (2000).
knf	50,000 (2016). Total users in all countries: 85,200.
kng	8,000,000 in Democratic Republic of the Congo, all users. L1 users: 3,000,000 (1982 UBS). L2 users: 5,000,000. Total users in all countries: 10,016,500 (as L1: 5,016,500; as L2: 5,000,000).
knd	500 (1988 SIL).
kne	150,000 (1991 SIL). All Kankanai 218,000 (1990 census).
knb	30,000 (2008 V. Dumatog), increasing.
knc	3,500,000 in Nigeria, all users. L1 users: 3,000,000 (Gunnemark and Kenrick 1985). L2 users: 500,000. Total users in all countries: 4,102,500 (as L1: 3,602,500; as L2: 500,000).
kna	20,000 (1973 SIL).
psy	No known L1 speakers.
knz	9,570 (1985 census). Total users in all countries: 12,070.
knx	321,000 (2007 SIL). Total users in all countries: 331,700.
kny	200,000 (1991 UBS).
knv	3,000 (2002 SIL). Population split equally between dialects.
knw	9,000 (Brenzinger 2013). Total users in all countries: 20,200.
knt	700 (2010 S. Kennell). Ethnic population: 700 (S. Kennell).
knu	90,000 (2001).
knr	300 (Wurm 2000). Ethnic population: 750.
kns	250 (2015 N. Bishop). Total users in all countries: 259.
knp	10,000 (2011 LBT).
knq	110 (2008 JHEOA). Ethnic population: 240 (Bradley 2007b). Total users in all countries: 111.
psr	52,000 (2014 IMB). 60,000 sign language users (2014 EUD). 150,000 deaf (2010 Federação Portuguesa das Associações de Surdos).
pss	4,000 (2000 D. Tryon).
ams	1,800 (2004).
psq	360 (2000 census).
amt	300 (2006 NTM). Ethnic population: 300 (2000 census).
amw	24,000 (2014 J. Leclerc).
ijs	71,500 (Voegelin and Voegelin 1977). 66,600 Nembe, 4,900 Akassa.
ijc	1,000,000 (Williamson 1989). 100,000 Kolokuma (1991 UBS). 1,770,000 all Ijo languages.
ije	4,800 (Voegelin and Voegelin 1977).
ijj	92,400 (2014 J. Leclerc).
ijn	258,000 (Jenewari 1989).
chc	No known L1 speakers, but emerging L2 speakers. Ethnic population: 500 (1977 SIL). The last speaker died before 1960.
cic	600 (Golla 2007), decreasing. Ethnic population: 35,000 (1999 Chickasaw Nation).
cib	25,000 (2002 SIL).
cia	79,000 (2005 SIL).
zim	20,100 (1993 census).
cie	3,000 (1998).
cid	No known L1 speakers. Last speaker died around 1950 (Golla 2007). Ethnic population: No ethnic group members left (1997 K. Turner).
cik	1,060 (1998 survey).
cih	750 (1996).
cin	1,300 (Moore 2006). Nearly all are monolingual. Ethnic population: 1,440 (2006 FUNASA).
cim	2,230. 500 in Lusernese Cimbrian in Trentino Alto Oolige 40 km southeast from Trento, plus 1,500 Sette Comuni Cimbrian (40% of Roana (Rowan), 70% of Messaselva di Roana Rotzo) in Veneto around 60 km north of Vicenza (Kloss 1978), and 230 or 65% of Giazza (Ijetzan) Veneto, 43 km northeast of Verona (1992 R. Zamponi). 22,700 were in Sieben Gemeinde and 12,400 in Dreizehn Gemeinde in 1854.
cir	600 (2009 census), decreasing.
cip	No known L1 speakers. Ethnic population: 32.
ciw	5,000. Ethnic population: 104,000 (1990 census).
ciy	63 (2011 census). Ethnic population: 4,090.
sxb	139,000 (2009 census), increasing.
sxe	1,000 (1990 CMA).
sxg	1,800 (2000 D. Bradley). 1,000 monolinguals. Ethnic population: 2,000 (2000 D. Bradley).
sxm	No known L1 speakers. Ethnic population: 200 (2000 D. Bradley).
sxn	200,000 (Maryott 1993), increasing. 50,000 Siau, 10,000 Tagulandang. Total users in all countries: 255,000.
sxr	10 (2012 C. Pan). Ethnic population: 300 (2000 UNESCO).
sxs	12,500 (2000).
sxu	2,000,000 (1998 A. Thomsen).
sxw	175,000 (2014 J. Leclerc).
jct	200 (Salminen 2007). Ethnic population: 1,800 (Salminen 2007). 1,200 ethnic Krimchak in the Crimea, 600 elsewhere (Salminen 2007).
jcs	40 (Parks et al 2011b), decreasing. Approximately 40 deaf L1 users, number of hearing L1 users is unknown. 4 monolinguals (2016 B. Gayle).
ago	1,000 (1991 SIL).
agn	15,000 (2007 SIL).
agm	2,500 (2015 BTA).
agl	350 (1986 SIL).
agk	5 (Wurm 2000). Ethnic population: 1,000 (1984 SIL).
agj	46,940, all users. L1 users: 43,700 (2010 UNSD). L2 users: 3,240. 100 monolinguals.
agi	72,000 (2007).
agh	13,600 (2000).
agg	1,270 (1990 census). 840 in Nai, 430 in Samanai.
agf	150 (Wurm 2000).
age	18,600 (2000).
agd	27,000 (2000 census).
agc	70,000 (1987 UBS).
agb	60,000 (1989).
aga	No known L1 speakers. Ethnic population: 40 families in Santa Cruz de Huallaga.
agz	1,500 (1979 SIL).
agy	1,000 (1982 SIL).
agx	29,300 (2010 census). Ethnic population: 34,200 (2010 census).
agw	5,170 (1999 SIL).
agv	2,530 (2000).
agu	18,000 (1998 SIL).
agt	780 (2000). Ethnic population: 820.
ags	20,000 (1982 SIL), increasing.
agr	53,600 (2007 census), increasing.
agq	26,700 (2000), increasing.
qvl	7,000 (2000 SIL), decreasing. 2,800 monolinguals.
qvm	83,400 (1993 census). 14,000 monolinguals. Ethnic population: 114,000 (1993 census).
qvn	60,000 (1998). 7,000 monolinguals (1972 census).
qvo	10,000 (2009). Total users in all countries: 24,000.
bvw	10,000 (Blench and Zeitlyn 1990).
qvi	150,000 (Gómez-Rendón 2007). Many monolinguals.
qvj	30,500 (2000).
bvt	3,500 (Loski and Loski 1989).
qve	200,000 (2002 SIL). 80,000 monolinguals. 30% in towns, 60%–70% in remote areas, especially at high altitudes. Ethnic population: 200,000.
bvy	10,000 (2009 J. Lobel).
bvx	4,000 (Leitch 2004). 800 monolinguals (Leitch 2004). Ethnic population: 4,000.
qva	90,000 (1998 SIL), decreasing. 18,000 monolinguals. Ethnic population: 90,000.
qvc	30,000 (2000 D. Coombs).
bvc	8,800 (1999 SIL).
bvb	51,000 (2011 S. Smith), decreasing. Few monolinguals.
bva	4,100 (1993 census).
bvg	3,000 (2000).
qvy	7,000 (1995).
qvz	8,000 (2007), decreasing. 300 monolinguals. Total users in all countries: 10,000.
bvd	5,900 (1999 SIL).
bvk	400 (Wurm and Hattori 1981).
bvj	5,000 (1990).
bvi	16,000 (Welmers 1971a).
qvw	250,000 (2002 SIL).
qvp	250 (Adelaar 1992). Ethnic population: 900.
bvn	750 (2003 SIL).
bvm	31,000 (2008 SIL).
qvs	15,000 (2000 SIL), decreasing. 2,000 monolinguals. Ethnic population: 44,000 (2000).
suv	20,000 (2011 SIL).
evh	19,800 (2000).
trh	25 (Wurm 2000).
trj	8,460 (2000).
trm	3,500 (2011), increasing. 700 monolinguals. Ethnic population: 3,500.
trl	460 (2011 census).
evn	11,000 (Salminen 2007). Ethnic population: 30,500 (2000 census). Total users in all countries: 16,800.
trn	5,500 (2000 SIL). Ethnic population: 20,800 (2000 W. Adelaar). 20,800 includes the Ignaciano [ign].
tra	100. Ethnic population: 5,000.
trc	25,000 (2007 SIL). Total users in all countries: 30,000.
trb	130 (1990 SIL). Ethnic population: 470 (2000 census).
tre	6,110 (2011 SIL). Population counted in the 12 villages only.
eve	5,660 (2010 census). Ethnic population: 21,800 (2010 census).
trg	6,230 (2005 J. Leclerc). Total users in all countries: 6,450.
trf	1,000,000 (2011 J. Ferreira).
try	No known L1 speakers.
trx	850 (2007 Z. Akter).
trz	No known L1 speakers. Ethnic population: 51 (1999).
trq	2,000 (1983).
trp	778,000 (2001 census). Total users in all countries: 783,000.
trs	4,060 (Adelaar 2007).
trr	1 (2002 SIL). Ethnic population: 20.
tru	15,000 (2014 J. Leclerc). Ethnic population: 50,000 (1994). Total users in all countries: 99,000.
trt	500 (1993 R. Doriot).
trw	80,000 (Lunsford 2001).
trv	20,000 (2008 R. Covell).
tdk	3,000 (2001 R. Blench).
tdj	12,000 (Himmelmann 2001).
tdi	600 (Mead 1999).
tdh	22,300 in Nepal, all users. 20,700 (2011 census). Thulung communities also in Bhojpur and Sankhuwasabha districts, scattered in Udayapur, Morang, Panchthar, and Ilam districts. Migrants may not speak Thulung as L1. 1,600 (2011 census). A few elderly monolinguals. Total users in all countries: 22,300 (as L1: 20,700; as L2: 1,600).
tdo	4,000 (1995).
ues	1,000 (1991 SIL).
tdn	92,000 (Wurm and Hattori 1981), decreasing.
tdm	3 (Carlin 2006).
tdl	5,000 (1998 R. Blench).
lea	400,000 (1982 UBS).
leb	353,000 (2010 census). 750 Ambo, 112,000 Bisa, 201,000 Lala, 1,620 Luano, 37,700 Swaka (2010 census). Ethnic population: 590,000 (2010 census). 2,450 Ambo, 198,000 Bisa, 392,000 Lala (2010 census).
lec	20 (2001 S. van de Kerke). Ethnic population: 2,800 (2001 DNPI).
led	750,000 (1996 SIL). Total users in all countries: 768,900.
lee	213,000 (2009 UNSD).
lef	48,900 (2003), increasing.
leh	128,000 (2010 census).
lei	270 (2003 SIL).
lej	100,000 (1998).
lek	1,320 (2000 census).
lel	26,000 (Welmers 1971a).
lem	6,000 (1982 SIL), increasing.
len	No known L1 speakers. Some semi-speakers (Adelaar 2007). Ethnic population: 100,000.
leo	No known L1 speakers. Ethnic population: No ethnic community.
lep	50,600 (2001 census). Total users in all countries: 69,800.
leq	1,760 (2000 census), increasing. 750 monolinguals.
ler	380 (2000 census). Ethnic population: 250 (2000 D. Tryon).
les	50,000 (1991 SIL).
let	2,000 (2000 census).
leu	5,000 (1998 SIL).
lev	10,000. Ethnic population: 10,000.
lew	350,000 (2000 census), increasing.
lex	18,000 (1995 SIL). 200 monolinguals.
ley	2,000 (Vail 1991), decreasing.
lez	402,000 (2010 census). Ethnic population: 474,000 (2010 census). Total users in all countries: 647,810.
tdd	540,000 (Zhou and Luo 2001). Ethnic population: 610,000 (Zhou and Luo 2001). Includes Tai Lü, Tai Hongjin, Tai Ya, Tai Dam and Tai Dón. Total users in all countries: 717,400.
ctt	5,000 (2004).
ctu	222,000 (2011 UNSD). 40,000 monolinguals.
ctp	16,000 (2000 INALI). 6,000 monolinguals (1990 census).
cts	77,500 (2000 census). Speakers of all Bikol languages: 4,580,000 (2000 census).
tdy	2,940 (2009 NCIP).
ctz	450 (2000 INALI).
ctd	189,000 (1990). Total users in all countries: 344,000.
cte	11,800 (2000 INALI). 1,500 monolinguals.
ctg	13,000,000 (2006 SIL).
cta	540 (2015 R. Sullivant). 1 monolinguals (2015 R. Sullivant).
ctc	5 (Chafe 1962), decreasing. Ethnic population: 100 (1977 SIL).
ctl	1,720 (2000 INALI). 550 monolinguals.
ctm	No known L1 speakers. Last speaker died in 1940 (Golla 2007). Ethnic population: 300 (1977 SIL).
ctn	3,710 (2011 census), decreasing. No monolinguals. Ethnic population: 5,000.
cto	15,000 (1992 SIL). 13,500 monolinguals. Ethnic population: Total Emberá in Colombia: 71,000 (Arango Ochoa and Sánchez Gutierrez 1998). Total users in all countries: 15,040.
cth	1,000 (2005 SIL).
sgy	2,200 (2009 S. Beck). Ethnic population: 2,200.
sgx	200 (2008 WFD). Reportedly 200 deaf signers out of 3,000–5,000 total deaf (2008 WFD).
sgz	3,000 (1991 SIL).
sgp	2,500 (Morey 2006).
sgs	500,000 (2009 A. Udovice).
sgr	36,000 (2006 census).
sgu	50 (1989 SIL).
sgt	5,000 (2006 census).
sgw	1,480,000 (2010 UNSD).
sgi	10,000 (1985).
sgh	40,000 (1975 SIL). 20,000 Shugan, 1,500–2,000 Oroshor, 15,000 Rushan. Ethnic population: 73,800 (1990 A. Kibrik). Includes 50,000 Shugni, 2,000 Oroshor, 18,000 Rushan, 800 Khufi, 3,000 Bartang. Total users in all countries: 80,000.
sgk	1,500 (1995 D. Bradley), decreasing. Ethnic population: 2,000.
sgj	1,460,000 (2001 census).
sgm	No known L1 speakers.
tdr	6,000 (Bradley 2007b).
sgc	1,916,000 (2009 census), increasing.
sgb	8,200 (1992 SIL).
sge	2,000 (Wurm and Hattori 1981).
sgd	400,000 (2009 W. Hall).
sgg	5,500 (Boyes Braem and Rathmann 2010). 10,000 deaf signers in all of Switzerland (2014 EUD).
ziw	355,000 (Johnstone 1993).
zir	No known L1 speakers. Ethnic population: 2,000.
ziz	6,000 (2010 Z. Yoder et al.). Total users in all countries: 6,200.
tdv	3,930 (2000).
zib	280,000 (2008 WFD). 280,000 deaf members of the Zimbabwe National Association of the Deaf (2008 WFD).
zia	4,500 (2000 SIL). 3,000 Zia (1991 SIL), 940 Mawae dialect. Ethnic population: 4,550.
zin	138,000 (1987), decreasing.
zil	25,000 (2010 V. Vydrin).
tdt	385,000 (2009).
zik	1,500 (1990 UBS).
pfa	1,320 (1989 census).
srb	253,000 (2001 census).
pfe	15,000 (1993).
pfl	Total users in all countries: 400,000.
srf	160 (Holzknecht 1988). May be less than 100 speakers (Wurm 2007). Ethnic population: 540 (2000 census).
srd	A macrolanguage. Population total all languages: 1,200,000
sro	500,000 (Salminen 2007).
srl	1,800 (Wurm 2000).
dzn	6,000 (1983 census).
npl	92,000 (1991 SIL). All Nahuatl variety speakers: 1,740,000.
npo	16,700 (2001 census).
npn	530 (2000 census).
npi	20,980,000 in Nepal, all users. 12,300,000 (2011 census), increasing. 143,000 Achhami, 273,000 Baitadeli, 67,600 Bajhangi, 10,700 Bajureli, 490 Dadeldhuri, 3,100 Dailekhi, 5,930 Darchuleli, and 11,800,000 Nepali (2011 census). 8,680,000 (2011 census). Total users in all countries: 24,052,600 (as L1: 15,372,600; as L2: 8,680,000).
nph	123,000 (2001 census).
npg	4,500 (2008 SIL).
npa	600 (2011 K. Hildebrandt). 200 Phu speakers, 400 Nar speakers.
gcc	2,200 (1988 SIL).
npb	
npy	6,100 (2000 R. Hanna), increasing.
npx	250 (2016 B. Boerger).
npu	3,000 (2001). Mostly monolingual. Ethnic population: 3,000.
nps	2,500 (1993 R. Doriot).
gcd	1 (Wurm 2007). Six semi-speakers; one full speaker (Wurm 2007).
mjd	3 (1994 L. Hinton). Ethnic population: 200 (1977 SIL).
mje	No known L1 speakers.
mjg	152,000 (2000 census). Very few monolinguals. Ethnic population: 190,000.
mjb	6,500 (Huber 2011).
mjc	5,580 (2000 INALI). 1,890 monolinguals.
mjl	900,000 (1991 census).
mjm	510 (2003 SIL). Ethnic population: 510.
mjn	570 (2003 SIL). Ethnic population: 570.
mjo	18,600 (2001 census). 260 in Kerala, 18,300 in Tamil Nadu.
mjh	6,000 (2004).
mji	200,000 (Wang and Mao 1995). 61,000 in Hainan Province (2000 census). Total users in all countries: 374,500.
mjj	25 (Wurm 2000).
mjk	160 (Anderson et al 2015). Ethnic population: 700 (Anderson et al 2015).
mjt	54,000 (Bhaskararao 2006). Total users in all countries: 61,000.
mju	Ethnic population: 30,000.
mjv	7,850 (2001 census). 7,760 in Kerala, 82 in Tamil Nadu.
mjw	420,000 (2001 census).
mjp	5,850 (2001 census).
mjq	No known L1 speakers. Ethnic population: 35,000 (2001 census).
mjr	Ethnic population: 12,600 (2001 census). Total population unknown. 6,190 in Kerala, 6,410 in Tamil Nadu (2001 census).
mjs	6,000 (1976 SIL).
mjx	33,000 (2007), decreasing. Ethnic population: 278,000 (2007). Total users in all countries: 36,000.
mjz	24,400 (2011 census), decreasing. Ethnic population: 72,600. Total users in all countries: 44,800.
vml	No known L1 speakers.
vmm	1,800 (2011 SIL).
vmj	6,380 (2000 INALI). 3,800 monolinguals (2005 census).
vmk	625,000 (2014).
vmh	
vmi	No known L1 speakers.
vmf	
vmg	600 (2000). Ethnic population: 1,500.
vmd	
vme	520 (1980 N. de Jonge).
vmb	No known L1 speakers.
vmc	16,000 (1990 census). 5,500 monolinguals.
vma	5 (2005 AUSTLANG).
vmz	12,000 (2000 INALI). 1,440 monolinguals.
vmx	1,550 (2000 INALI). 30 monolinguals.
vmy	3,700 (2005 census). 2,800 monolinguals.
vmv	No known L1 speakers.
vmw	3,170,000 (2014).
vmu	No known L1 speakers.
vmr	505,000 (2014).
vms	No known L1 speakers. Last speaker died in 1974.
vmp	27,500 (2000 INALI). Original Soyaltepec variety may only be 900, mostly monolingual. 1,930 monolinguals.
vmq	220 (2000 INALI). Ethnic population: 930 (1990 census).
lzz	20,000 (Salminen 2007). Ethnic population: 92,000 (1980). Total users in all countries: 22,000.
lzl	15 (Lynch and Crowley 2001).
lzn	7,000 (2008 SIL).
dgb	1,000 (2005 D. Douyon and R. Blench).
kpq	8,000 (1996 E. Young).
kpr	3,630 (2003 SIL). A very few old women are monolingual.
kps	10,000 (2000 R. Hesse). 500 monolinguals.
kpt	260 (2010 census). Ethnic population: 6,400 (2014 NCRP).
kpu	1,000 (Wurm and Hattori 1981). Ethnic population: 1,000.
kpv	156,000 (2010 census). Ethnic population: 228,000 (2010 census).
kpw	10,000 (2007 SIL), increasing. 4,000 monolinguals.
kpx	4,000 (2000 census). 2,000 monolinguals.
kpy	1,670 (2010 census). Ethnic population: 7,950 (2010 census).
kpz	274,000 (2014 census), increasing. Census based on tribal affiliation.
kpa	3,000 (1995).
kpb	26,000 (2004 survey). 25,000 in Wayanad; 1,000 in Gudalur of Nilgiri.
kpc	7,000 (Civallero 2008). Ethnic population: 7,060 (Crevels 2007). Total users in all countries: 11,880.
kpd	870 (2011 SIL).
kpe	A macrolanguage. Population total all languages: 1,220,000
kpf	15,000 (2000 SIL).
kpg	3,000 (1995 SIL). 1,000 on Kapingamarangi and 2,000 in Pohnrakied village on Pohnpei.
kph	1,600 (2003 GILLBT).
kpi	100 (Wurm 2000).
kpj	2,670 (Moore 2006). Karajá 1,860, Javaé 800, Xambioá 10 (D. Moore). Ethnic population: 3,610 (Crevels 2007). Karajá 2,500, Javaé 920, Xambioá 190 (Crevels 2007).
kpk	11,400 (2000).
kpl	3,000 (1986 SIL).
kpm	166,000 (2009 census).
kpn	No known L1 speakers.
kpo	155,000 (2002 SIL). Total users in all countries: 162,500.
ihp	5,500 (1987 SIL).
ihi	
ihb	No known L1 speakers. Ethnic population: No ethnic community.
ckb	4,000,000 (2014 J. Leclerc). Total users in all countries: 7,250,000.
ckl	200,000 (2014 NBTT).
cko	91,300 (2013 UNSD). Total users in all countries: 177,200.
ckn	1,000 (2010 SIL).
ckh	3,000 (Bradley 2007b). Total users in all countries: 4,000.
cku	59 (2010 census), decreasing. Ethnic population: 220 (2000 census).
ckt	5,100 (2010 census). Ethnic population: 15,900 (2010 census).
ckv	24 (2000 P. Li). Ethnic population: 1,000 (Tsukida and Tsuchida 2007).
ckq	10,000 (Bender 1983a).
cks	900 (2009 census), decreasing.
ckr	900 (2012 SIL).
cky	5,000 (1990 SIL).
ckx	5,000 (Dieu and Renaud 1983).
ckz	2,000 (1998 SIL).
dbi	11,400 (2000).
dbj	10,000 (2013 SIL). Population includes 2,500 Begak. Ethnic population: 15,000 (2015 Pertubuhan Kebajikan Idahan Pewaris Madai, Lahad Datu (PEWARIS)).
dbm	65,000 (2008 M. Rueck), decreasing.
dbl	29 (2006 census).
dbo	100 (1993).
dbn	30 (Wurm 2000). Ethnic population: 60.
dba	2,000 (Blench 2005).
szc	2,000 (Bradley 2007b). Ethnic population: 3,970 (2008 JHEOA).
dbb	6,000 (1995 CAPRO).
dbe	440 (2005 SIL).
dbd	70,000 (2014 SIL).
dbg	15,700 (1998 J. Durieux).
sze	3,000 (1995 SIL).
dby	1,950 (2000 census).
dbq	24,000 (2007 SIL). Total users in all countries: 25,000.
dbp	11,400 (2000).
szp	1,100 (1987 SIL).
dbr	20,000 (1998 J. Leclerc).
dbu	24,700 (1998 J. Durieux).
dbt	3,000 (2005 J. Heath).
dbw	1,320 (1998 census).
dbv	1,100 (2000).
xvi	18,000 (2011), increasing. 3,600 monolinguals. Ethnic population: 18,000. Total users in all countries: 20,000.
jaz	990 (2009 census), increasing.
jax	1,000,000 (2000 census).
jay	7 (2005 AUSTLANG), decreasing.
jav	84,300,000 (2000 census). 25,000 in south Sulawesi, and 69,000,000 on Java, 500,000 of them being in Banten region and 2,500,000 in Cirebon region of Java. Ethnic population: 95,200,000 (2011 census). Total users in all countries: 84,368,500.
jat	No known L1 speakers.
jau	350 (1978 SIL).
jas	Ethnic population: 4,000.
jaq	10,000 (1987 SIL).
jan	No known L1 speakers (1996 AUSTLANG).
jao	120 (2006 census).
jal	1,700 (2004 SIL).
jam	2,670,000 (2001). Total users in all countries: 3,035,000.
jaj	10 (1999 SIL).
jak	Ethnic population: 25,000 (2008 JHEOA).
jah	Ethnic population: 3,760 (2008 JHEOA).
jaf	46,300 (2000).
jad	29,000 (1999 G. Gumbs). Total users in all countries: 29,500.
jae	2,080 (McElhanon 1978). Ethnic population: 5,890 (2000 census).
jab	300,000 (2014 NBTT).
jac	9,000 (1990 SIL). Total users in all countries: 9,500.
