ISO 639-3	Population	Name
hem	181,000 (2000).	Hemba
heh	1,080,000 (2013 J. Leclerc).	Hehe
hei	66 (FPCC 2014). 50 semi-speakers; 6 remaining speakers of Oowekyala (FPCC 2014). Ethnic population: 2,530 (FPCC 2014).	Heiltsuk
uig	10,100,000 (2010 census). Some are monolingual. Total users in all countries: 10,399,460.	Uyghur
uis	2,500 (1991 SIL).	Uisai
uiv	1,000 (1996 WT). Total users in all countries: 2,000.	Iyive
cpi	Several thousand speakers, spoken by most in Nauru (Wurm 2007).	Chinese Pidgin English
cpn	132,000 (2013 UNSD).	Cherepon
cpo	2,000 (2012 SIL).	Kpeego
cpa	25,000 (2007 SIL). 1,500 monolinguals.	Chinantec, Palantla
cpb	7,000 (2001 SIL). Total users in all countries: 7,870.	Ashéninka, Ucayali-Yurúa
cpc	4,000 (2000 SIL).	Ajyíninka Apurucayali
rxd	14 (2012 AUSTLANG).	Ngardi
cpg	2,800 (2015 M. Janse).	Cappadocian Greek
cpx	2,520,000 (2000). Total users in all countries: 2,558,800.	Chinese, Pu-Xian
cpy	13,000 (2002 SIL). Ethnic population: 14,000 (2002 SIL).	Ashéninka, South Ucayali
cps	639,000 (2000).	Capiznon
cpu	10,700 (2007 census). Includes Ajyninka Apurucayal [cpc].	Ashéninka, Pichis
rxw	No known L1 speakers.	Karuwali
mnx	12,000 (1987 SIL).	Manikion
mny	150,000 (2010 J. Leclerc). 85% monolingual in Lugela District.	Manyawa
mnz	20,000 (1991 SIL).	Moni
scn	4,700,000 (2002).	Sicilian
sci	46,000 (Ansaldo and Lim 2006), decreasing.	Sri Lankan Creole Malay
sch	25,000 (2003).	Sakachep
sck	3,290,000 (2001 census). 2,050,000 Sadani, 1,243,000 Nagpuria. Total users in all countries: 3,291,180.	Sadri
bvr	1,070 (2006 census).	Burarra
mnp	10,900,000 (2013). Total users in all countries: 10,915,200.	Chinese, Min Bei
mnq	Ethnic population: 270 (2008 JHEOA).	Minriq
mnr	37 (1994 L. Hinton), decreasing. More than 20 speakers and 100 semispeakers of Western Mono. Under 30 speakers of Eastern Mono (Golla 2007). Ethnic population: 1,000 Eastern Mono (Golla 2007).	Mono
mns	940 (2010 census). Ethnic population: 12,300 (2010 census).	Mansi
mnu	85 (2000).	Mer
mnv	4,390 (1999 SIL).	Rennell-Bellona
mnw	743,000 (2004), decreasing. Ethnic population: 1,000,000 (Bradley 2007b). Total users in all countries: 851,000.	Mon
mnh	65,000 (1984 census).	Mono
mni	1,470,000 (2001 census). Total users in all countries: 1,485,000.	Meitei
mnj	5,300 (2008 D. Beyer and S. Beck). Very few monolinguals. Ethnic population: 5,300.	Munji
mnk	669,000 (2006 J. Leclerc). Total users in all countries: 1,325,000.	Mandinka
mnl	400 (Lynch and Crowley 2001). Ethnic population: 570.	Tiale
mnm	270 (1973 SIL).	Mapena
mnn	30,000 (2002).	Mnong, Southern
scu	2,170 (1998).	Shumcho
mna	4,500 (2007 SIL), increasing. 450 monolinguals. Ethnic population: 4,500.	Mbula
mnb	300,000 (2007 R. Van den Berg).	Muna
smp	No known L1 speakers. Ethnic population: 620 (1999 H. Mutzafi). Total users in all countries: none known.	Samaritan
mnd	2 (Moore 2006). Ethnic population: 10.	Mondé
mne	410,000 (2013 J. Leclerc). 137,000 Bilala, 76,700 Kuka, and 19,200 Medogo.	Naba
mnf	34,000 (1987 SIL).	Mundani
mng	30,000 (2002 SIL).	Mnong, Eastern
zmj	20 (Oates and Oates 1970).	Maridjabin
smo	169,000 (2015). Total users in all countries: 400,720.	Samoan
zmh	No known L1 speakers.	Makolkol
zmi	Used as L1 by many inhabitants of Negeri Sembilan State (2011 K. Anderbeck). Ethnic population: 508,000 (2004).	Negeri Sembilan Malay
zmn	2,000 (Idiata 2007). Total users in all countries: 3,510.	Mbangwe
bvu	59,000 (2007 SIL).	Malay, Bukit
zml	No known L1 speakers (2006 census).	Madngele
smn	300 (2001 census). 1,830 all Saami in Finland (2010 census). Ethnic population: 700 (1995 M. Krauss).	Saami, Inari
zmb	120,000 (1994 census).	Zimba
zmc	No known L1 speakers.	Margany
zma	25 (Black 1983).	Manda
zmf	8,400 (2002).	Mfinu
smm	50,000 (2003). 20,000 Musasa and 30,000 Musasa Bantar. Ethnic population: 234,000 (2011 census).	Musasa
zmd	10 (2005 AUSTLANG).	Maridan
zme	No known L1 speakers.	Mangerr
zmz	352,000 (2000). Total users in all countries: 365,400.	Mbandja
zmx	14,000 (2014 J. Leclerc). Total users in all countries: 14,220.	Bomitaba
zmy	20 (Wurm and Hattori 1981).	Mariyedi
bvz	1,500 (1991 SIL). 1,350 monolinguals.	Bauzi
zmr	5 (2005 AUSTLANG).	Maranunggu
zms	8,400 (2002).	Mbesa
zmp	165,000 (Nida 1972).	Mpuono
zmq	50,900 (2000).	Mituku
zmv	No known L1 speakers.	Mbariman-Gudhinma
zmw	11,000 (1994 SIL).	Mbo
zmt	6 (2006 census).	Maringarr
zmu	No known L1 speakers.	Muruwari
smh	20,000 (Bradley 2007b). Very few monolinguals. Ethnic population: 28,000 (Bradley 2007b).	Samei
pbu	18,700,000 (2013 SIL). Ethnic population: Possibly 49,600,000 Pashto in all countries. Total users in all countries: 21,038,000.	Pashto, Northern
pbt	6,000,000 (2008). Total users in all countries: 10,734,800.	Pashto, Southern
smd	24,200 (2000).	Sama
pbp	6,300 (1998 NTM). Total users in all countries: 13,510.	Badyara
pbs	7,370 (2000 INALI). There are monolingual Pame speaking children in about 30 villages.	Pame, Central
pbr	95,000 (2002).	Pangwa
smc	80 (Wurm 2000).	Som
pby	250 (2012 SIL).	Pyu
pbe	2,000 (1993 SIL).	Popoloca, Mezontla
pbg	20 (Crevels 2007). Ethnic population: 17,400 (Crevels 2007).	Paraujano
pbf	500 (1990 census). Ethnic population: 7,000.	Popoloca, Coyotepec
pbc	4,700 (Forte 1990). Ethnic population: 5,000 (2000 J. Forte).	Patamona
pbb	40,000 (Crevels 2007). Ethnic population: 119,000 (Crevels 2007).	Páez
pbl	5,690 (2000).	Mak
pbo	158,000 (2016). Total users in all countries: 164,200.	Papel
pbn	3,000.	Kpasham
pbi	30,000 (1993 SIL).	Parkwa
pbh	3,540 (2001 census). 2,480 monolinguals. Nearly all women monolingual; men fairly bilingual in Spanish [spa]. Ethnic population: 4,270 (2001 census).	E’ñapa Woromaipu
bvf	100 (1999 SIL).	Boor
bve	11,200 (2007 SIL).	Malay, Berau
xow	25 (Wurm 2000).	Kowaki
bvh	20 (Batic 2011), decreasing. Ethnic population: 500.	Bure
xor	26 (2007 FPEVJ). Ethnic population: 250 (2000 ISA).	Korubo
xop	540 (2000 census).	Kopar
bvo	1,800 (1993 census).	Bolgo
xog	2,960,000 (2014 census), increasing. Census based on tribal affiliation.	Soga
xod	3,700 (1991 SIL).	Kokoda
xoc	No known L1 speakers.	O’chi’chi’
xon	831,000 (2013 UNSD), increasing. Total users in all countries: 915,700.	Konkomba
xoo	No known L1 speakers. Ethnic population: 6,360 (1999).	Xukurú
bvl	350 (1988 E. Powlison).	Bolivian Sign Language
xok	760 (1998 ISA).	Xokleng
xoi	320 (2003 SIL).	Kominimung
vic	52,300 (1980). Total users in all countries: 76,500.	Virgin Islands Creole English
vif	11,000 (2014 J. Leclerc). Total users in all countries: 14,690.	Vili
vig	8,000 (1995 SIL).	Viemo
vid	32,000 (1987).	Vidunda
vie	65,800,000 (1999 census). Ethnic population: 73,600,000 (2009 census). Total users in all countries: 68,058,620.	Vietnamese
vin	10,000 (1987).	Vinza
vil	No known L1 speakers (2011 M. Del Pozzi).	Vilela
vis	150 (Shashi and Shri 1994).	Vishavan
viv	6,000 (1984 SIL).	Iduna
vit		Viti
kld	35 (2006 census), increasing. Recently extinct in its original form, but spoken by many as a mixture of English [eng] and Gamilaraay (Wurm 2007).	Gamilaraay
kle	33,200 (2011 census).	Kulung
klf	1,860 (2000).	Kendeje
klg	83,000 (2000 census). 40,000 monolinguals. Ethnic population: 100,000.	Tagakaulo
kla	6, all users. No known L1 speakers. The last speaker died in 2003 (Watanabe and Sasama 2007). 6 (Golla 2007). Ethnic population: 170 (2000 census).	Klamath-Modoc
klb	10 (Golla 2007). 29 (2000 INALI). No monolinguals (1993).	Kiliwa
klc	2,500 (1997 L. Lode).	Kolbila
kll	6,000 (1981 SIL).	Kalagan, Kagan
klm	470 (2003 SIL).	Migum
kln	A macrolanguage. Population total all languages: 4,858,250	Kalenjin
klo	200 (2004).	Kapya
klh	200 (1990 SIL). Ethnic population: 720 (2000 census).	Weliki
kli	20,000 (2012 S. Samboy).	Kalumpang
klj	51,000 (2014 J. Leclerc).	Khalaj, Turkic
klk	5,520 (2000).	Kono
klt	1,000 (2011 SIL). Ethnic population: 1,010.	Nukna
klu	342,000 (2015). Total users in all countries: 351,620.	Klao
klv	1,100 (Lynch and Crowley 2001), increasing. No monolinguals.	Maskelynes
klw	2,400 (2000 census), increasing.	Tado
klp	7 (2003 SIL).	Kamasa
klq	1,000 (1985 UBS).	Rumu
klr	14,500 (2011 census), decreasing. No monolinguals. Ethnic population: 20,000.	Khaling
kls	5,000 (Heegård Petersen 2006). 3,200 in Northern Kalasha area; unknown and decreasing number in Southern Kalasha area.	Kalasha
klx	900 (1998 SIL).	Koluwawa
kly	500 (Friberg and Laskowske 1989).	Kalao
klz	3,900 (1995 N. Johnston).	Kabola
xud	No known L1 speakers.	Umiida
xug	5,000 (2004).	Kunigami
xua	2,500 (1997).	Kurumba, Alu
yxy	No known L1 speakers. Date of last speaker’s death unknown.	Yabula Yabula
xub	32,000 (2003 NLCI), increasing.	Kurumba, Betta
yxu	No known L1 speakers.	Yuyu
xul	No known L1 speakers.	Ngunawal
yxl	No known L1 speakers.	Yardliyawarra
yxm	No known L1 speakers.	Yinwum
yxa	No known L1 speakers.	Mayawali
xun	No known L1 speakers.	Unggaranggu
xuj	35,000 (IMA 1997).	Kurumba, Jennu
ito	5 (Crevels 2007). Ethnic population: 2,940 (2006 PIB).	Itonama
itl	80 (2010 census), decreasing. Ethnic population: 3,200 (2010 census).	Itelmen
itm	5,000 (1988).	Itu Mbon Uzo
itk	200. Total users in all countries: 250.	Judeo-Italian
iti	9,000 (2003 SIL).	Itneg, Inlaod
itd	27,000 (2007 SIL).	Tidung, Southern
ite	75 (Crevels 2007). Ethnic population: 200 (Crevels 2007). Total users in all countries: 87.	Itene
itb	7,500 (2003 SIL). 46,400 in all Itneg varieties (1990 census).	Itneg, Binongan
ita	57,700,000 (European Commission 2012). Total users in all countries: 66,455,110 (as L1: 63,370,110; as L2: 3,085,000).	Italian
itz	12 (1986 SIL). Ethnic population: 1,800 (2001).	Itza’
itx	80 (Wurm 2000). Ethnic population: 200.	Itik
ity	12,000 (2003 SIL).	Itneg, Moyadan
itv	134,000 (1990 census). 120,000 Itawit, 14,500 Malaweg.	Itawit
itw	5,000 (1988).	Ito
itt	18,000 (2003 SIL). Ethnic population: 18,000.	Itneg, Maeng
itr	480 (2003 SIL).	Iteri
its	510,000 (1991 UBS).	Isekiri
wrg	No known L1 speakers.	Warungu
wrd	5,000 (1994).	Warduji
wrb	No known L1 speakers.	Warluwara
wra	300 (Wurm 2000).	Warapu
wrn	1,100 (1956 census).	Warnang
wro	20 (2006 census).	Worrorra
wrl	47 (2006 census).	Warlmanpa
wrm	310 (2006 census).	Warumungu
wrk	59 (Mushin 2012).	Garrwa
wrh	100 (2006 census).	Wiradhuri
wri	No known L1 speakers.	Wariyangga
wrv	600 (1991 SIL).	Waruna
wrw	No known L1 speakers.	Gugu Warra
wru	350 (Mead 1999).	Waru
wrr	84 (2006 census).	Wardaman
wrs	2,500, increasing. Total users in all countries: 4,000.	Waris
wrp	6,000 (1987 SIL).	Waropen
wrz	No known L1 speakers.	Waray
wrx	3,000 (2010).	Wae Rana
wry	3,900,000 (2001 census).	Merwari
tri	800 (2005 J. Leclerc). Ethnic population: 1,400 (2003). Total users in all countries: 1,530.	Trió
tro	870 (2000).	Naga, Tarao
trd	2,000 (2007). Ethnic population: 354,000 (2007).	Turi
gfk	7,000 (1998 SIL).	Patpatar
jer	23,000 (1972 SIL). 7,000 Boze, 2,350 Gusu, 2,000 Bunu, 3,500 Panawa.	Jere
jet	500 (1993 SIL). Total users in all countries: 900.	Manem
jeu	1,500 (1993 SIL).	Jonkor Bourmataguil
jeb	2,400 (2011 J. Leclerc). Ethnic population: 2,500 (2000 W. Adelaar).	Jebero
jee	5,380, all users. 1,760 (2011 census). 3,620 (2011 census).	Jerung
jek	1,500 (1990 R. Kastenholz). Ethnic population: 20,000 (1990 R. Kastenholz).	Jeri Kuo
jeh	15,200 (2002 SIL). Total users in all countries: 25,800.	Jeh
jei	2,390 (2001 SIL).	Yei
jen	100,000 (2014 NBTT).	Dza
jel	400 (1978 SIL).	Yelmek
odu	18,000 (1989).	Odual
aae	100,000 (Salminen 2007). Ethnic population: 260,000 (Stephens 1976).	Albanian, Arbëreshë
aad	830 (2003 SIL).	Amal
aag	290 (2000 census).	Ambrak
aaf	200 (2001 census). Census did not include all people in interior settlements.	Aranadan
aaa	9,000 (1994).	Ghotuo
aac	50 (Wurm 2000).	Ari
aab	7,000 (Blench 1999b).	Alumu-Tesu
aal	5,000 (Tourneux 2004). 40,000 all Kotoko languages (Tourneux 2004).	Afade
aao	100,000 (1996). Total users in all countries: 178,000.	Arabic, Algerian Saharan Spoken
aan	6 (Moore 2006). Ethnic population: 130 (2000 ISA).	Anambé
aai	3,470 (2000).	Miniafia Oyan
aah	2,560 (2000 SIL). Ethnic population: 2,560 (2000 census).	Arapesh, Abu’
aak	1,600 (1987 SIL).	Ankave
aau	7,270 (2000 census), increasing. No monolinguals.	Abau
aat	50,000 (Salminen 2007). Ethnic population: 150,000.	Albanian, Arvanitika
aaw	2,200 (Wurm and Hattori 1981).	Solong
odk	58,400 (2004 J. Leclerc).	Od
aaq	No known L1 speakers (Golla 2007). Ethnic population: 90 (2000 census). Total Abenaki in the United States.	Abenaki, Eastern
aap	340 (2010 I. Souza).	Arára, Pará
aas	350 (1999 J. Carr), decreasing.	Aasáx
aar	1,302,800 in Ethiopia, all users. L1 users: 1,280,000 (2010 UNSD). L2 users: 22,800. 906,000 monolinguals (1994 census). Total users in all countries: 1,990,800 (as L1: 1,968,000; as L2: 22,800).	Afar
aax	10,000 (2002 SIL).	Mandobo Atas
aaz	70,000 (2011 Unit Bahasa dan Budaya - Gereja Masehi Injili di Timor (UBB-GMIT)).	Amarasi
bhi	681,000 (2001 census). 25,000–50,000 Parya Bhilali.	Bhilali
bhh	50,000 (1995 H. Mutzafi). Total users in all countries: 110,600.	Bukharic
bhj	15,250, all users. 11,700 (2011 census). 3,550 (2011 census).	Bahing
bhm	200 (2011).	Bathari
bhl	2,250 (2003 SIL).	Bimin
bho	37,800,000 (2001 census). Total users in all countries: 39,605,300 (as L1: 39,445,300; as L2: 160,000).	Bhojpuri
bhn	900 (2015 J. Leclerc).	Bohtan Neo-Aramaic
bha	197,000 (1981 census).	Bharia
bhc	300 (Remijsen 2001).	Biga
bhb	3,310,000 (2001 census).	Bhili
bhe	70 (1998).	Bhaya
bhd	53,000 (2002).	Bhadrawahi
bhg	7,000 (2007 SIL).	Binandere
bhf	240 (2000 census).	Odiai
bhy	15,000 (1989).	Bhele
bhx	8,670 (1981 census).	Bhalay
bhz	6,800 (Martens 1989), increasing.	Bada
oda	20 (1980 R. Blench). May be extinct (Dimmendaal and Voeltz 2007).	Odut
bhq	130,000 (1995 SIL), increasing. 100,000 in Maluku.	Tukang Besi South
bhp	500,000 (1989).	Bima
bhs	10,000 (2004 SIL), increasing.	Buwal
bhr	724,000 (2011 SIL).	Malagasy, Bara
bhu	6,790 (2000 USCWM).	Bhunjia
bht	102,000 (1991 census).	Bhattiyali
bhw	70,000 (Van den Heuvel 2007).	Biak
bhv	19,000 (2007 SIL).	Bahau
hgw	1,060 (2000 census). 160 monolinguals.	Haigwai
hgm	16,000 (2002 J. Leclerc). Total users in all countries: 46,000.	Hai||om
tpg	5,000 (Grimes et al 1997).	Kula
tpf	630 (2006 SIL).	Tarpia
tpe	85,000.	Tippera
tpc	590 (2000 INALI).	Me’phaa, Azoyú
tpa	1,280 (2001 SIL).	Taupota
tpo	3,300 (1995 census). Total users in all countries: 13,300.	Tai Pao
tpm	16,000 (2003).	Tampulma
tpl	7,500 (2005 INALI).	Me’phaa, Tlacoapa
tpk	No known L1 speakers. Ethnic population: 1,390.	Tupinikin
tpj	110 (Crevels 2007), decreasing. Ethnic population: 1,830 (Crevels 2007). Total users in all countries: 360.	Ñandeva
tpi	4,122,000, all users. 122,000 (2004 SIL). 4,000,000. 50,000 monolinguals.	Tok Pisin
tpv	10 (2011 SIL), decreasing.	Tanapag
ext	200,000. 500,000 able to use it, including some monolinguals (1994 T. Erickson). Most use northern dialect. Ethnic population: 1,100,000 (1994). Total users in all countries: 201,500.	Extremaduran
tpt	3,000 (1990 SIL).	Tepehua, Tlachichilco
tpr	340 (Moore 2006). Ethnic population: 380.	Tuparí
tpq	610 (2000).	Tukpa
tpp	4,000 (1990 census).	Tepehua, Pisaflores
tpz	3,900 (1991 SIL).	Tinputz
tpy	51 (Moore 2006). Ethnic population: 120 (Moore 2006).	Trumai
tpx	40,200 (2005 INALI). 15,000 monolinguals.	Me’phaa, Acatepec
ojv	2,370 (1999 SIL).	Ontong Java
ojw	10,000 (2002 W. Poser). Ethnic population: 60,000 (1997 SIL).	Ojibwa, Western
ugo	150 (Bradley 2007b). Ethnic population: 500 (Bradley 2007b).	Ugong
ojs	10,500 (2001 census).	Ojibwa, Severn
ugb	No known L1 speakers.	Kuku-Ugbanh
uge	1,200 (1999 SIL).	Ughele
ojg	25,900 (1998 census).	Ojibwa, Eastern
ugy	7,000 (Belloso 2009).	Uruguayan Sign Language
ojb	20,000 (2000 UBS).	Ojibwa, Northwestern
ojc	8,000 (2007 SIL).	Ojibwa, Central
oji	A macrolanguage. Population total all languages: 93,710	Ojibwa
crs	80,200 (2014 World Factbook).	Seychelles Creole French
crq	1,500 (Crevels 2007). 750 monolinguals. Ethnic population: 2,000 (Crevels 2007). Includes all ethnic Chorote, both [crt] and [crq]. Total users in all countries: 2,150.	Chorote, Iyo’wujwa
crv	5,910 (2001 census).	Chaura
crw	7,000 (1995 census), decreasing. Few monolinguals. Ethnic population: 26,900 (2009 census).	Chrau
crt	800 (Crevels 2007). Ethnic population: 2,000 ethnic Chorote [crt] and [crq] (Crevels 2007).	Chorote, Iyojwa’ja
crz	No known L1 speakers.	Cruzeño
crx	680 (FPCC 2014). 1,380 semi-speakers (FPCC 2014). Ethnic population: 9,350 (FPCC 2014).	Carrier
cry	1,000 (2004).	Cori
crc	1,200 (Lynch and Crowley 2001).	Lonwolwol
cra	13,770, all users. L1 users: 13,100 (2010 UNSD). L2 users: 670. 5,560 monolinguals.	Chara
crf	No known L1 speakers.	Caramanta
crg	75 (2010 census), decreasing. 0. Total users in all countries: 725.	Michif
crd	2 (Watanabe and Sasama 2007). Ethnic population: 80 (2000 census).	Coeur d’Alene
cre	87,220 A macrolanguage. Population total all languages: 87,220	Cree
crj	7,310 (1997 MSSS).	Cree, Southern East
crk	34,000 (1982 SIL). Ethnic population: 53,000. Total users in all countries: 34,100.	Cree, Plains
crh	260,000 (2006 A. Goriainov). Total users in all countries: 573,540.	Crimean Tatar
cri	68,800 (2015 World Factbook). Total users in all countries: 79,400.	Sãotomense
crn	5,370 (2000 INALI).	Cora, El Nayar
cro	3,960 (2010 census), decreasing. Ethnic population: 8,500 (Golla 2007).	Crow
crl	5,310 (1997 MSSS).	Cree, Northern East
crm	3,000 (Golla 2007). Ethnic population: 5,000 (1982 SIL).	Cree, Moose
sew	1,520 (1972 census). 300 monolinguals.	Sewa Bay
sev	60,000 (2009 L. Boese).	Sénoufo, Nyarafolo
seu	1,200 (1987 SIL).	Serui-Laut
set	30,000 (1996 SIL), increasing. Few monolinguals.	Sentani
ses	430,000 (2007 SIL), increasing. 300,000 monolinguals (2007 SIL). Ethnic population: 850,000.	Songhay, Koyraboro Senni
ser	5 (2010 census).	Serrano
seq	50,000 (1995 SIL). All Senoufo languages: 173,000 (2009 UNSD).	Sénoufo, Senara
sep	35,000 (1999 SIL). All Senoufo languages: 173,000 (2009 UNSD). Total users in all countries: 38,000.	Sénoufo, Sìcìté
sez	33,000 (2007 SIL).	Chin, Senthang
sey	490 (2012 UNSD). A few elderly monolinguals (2007 M. Johnson). Total users in all countries: 1,170.	Secoya
seg	7,000, decreasing. Ethnic population: 15,000.	Segeju
sef	862,000 (1993 SIL).	Sénoufo, Cebaara
see	100 (Golla 2007). Ethnic population: 900 (2000 census). 6,240 (1997 W. Chafe).	Seneca
sed	97,000 (Bradley 2007b). Total users in all countries: 97,520.	Sedang
sec	4 (FPCC 2014). 34 semi-speakers (FPCC 2014). 0. Ethnic population: 1,200 (FPCC 2014).	Sechelt
seb	100,000 (1996). Total users in all countries: 114,800.	Sénoufo, Shempire
sea	10,000 (Bradley 2007b). Ethnic population: 42,400 (2008 JHEOA).	Semai
seo	140 (2000 S. Wurm).	Suarmin
sen	50,000 (1985 census). All Senoufo languages: 173,000 (2009 UNSD).	Sénoufo, Nanerigé
sel	1,020 (2010 census). Central Selkup: 200 speakers, Northern Selkup: 1,000 to 1,500 speakers, Southern Selkup: less than 100 speakers (Salminen 2007). Ethnic population: 3,900 (2010 census).	Selkup
sek	30 (FPCC 2014). 240 semi-speakers (FPCC 2014). 0 (Golla 2007). Ethnic population: 1,410 (FPCC 2014).	Sekani
sej	No known L1 speakers.	Sene
sei	900 (2007 SIL).	Seri
seh	1,370,000 (2014).	Sena
zkn	9,000 (2007 SIL). No monolinguals.	Kanan
zkd	30,000 (2007 SIL), decreasing. Over 30 villages in Mawteik dialect (nearly extinct); over 30 villages in Settaw dialect; 5 villages in Mawkhwin dialect. No monolinguals.	Kadu
zka	2,200 (2005 SIL).	Kaimbulawa
zku	No known L1 speakers, but emerging L2 speakers. Last speaker died in 1929 (2015 R. Amery).	Kaurna
zkp	No known L1 speakers.	Kaingáng, São Paulo
zkr	600 (Bradley 2007a). Total users in all countries: 900.	Zakhring
swt	3,000 (Grimes et al 1997).	Sawila
pdu	133,000 (2005 E. Phan). Total users in all countries: 133,180.	Kayan
pdt	80,000 (Salminen 2007). Total users in all countries: 447,360.	Plautdietsch
pdo	5,000 (1991 P. Vuorinen).	Padoe
pdn	280 (2005 SIL).	Fedan
sww	20 (2011 SIL).	Sowa
pdi	1,000. Total users in all countries: 1,300.	Pa Di
pdc	118,000 (2010 census), increasing. Ethnic population: 200,000 (Kloss and McConnell 1981). Total users in all countries: 133,000.	German, Pennsylvania
pda	1,070 (2003 SIL).	Anam
xay	1,300 (Wurm and Hattori 1981).	Kayan Mahakam
xar	No known L1 speakers.	Karami
xas	No known L1 speakers. The last speaker died in 1989 (Salminen 2007).	Kamas
xat	10 (Moore 2006). Ethnic population: 250 (Moore 2006).	Katawixi
xau	400 (1987 SIL).	Kauwera
xav	9,600 (Moore 2006). 7,000 monolinguals.	Xavánte
xaw	5 (2005 J. Turner). Ethnic population: 150 (2005 J. Turner).	Kawaiisu
xai	No known L1 speakers. Ethnic population: 1,100 (1986 SIL).	Kaimbé
xaj	No known L1 speakers (Campbell and Grondona 2012).	Ararandewára
xak	No known L1 speakers (2015). Total users in all countries: none known.	Máku
xal	80,500 (2010 census). Ethnic population: 183,000 (2010 census). Total users in all countries: 360,800.	Kalmyk-Oirat
xam	No known L1 speakers.	|Xam
xan	224,000, all users. L1 users: 213,000 (2010 UNSD). L2 users: 11,000. 93,900 monolinguals.	Xamtanga
xao	10,000 (Wurm and Hattori 1981).	Khao
xab	6 (Blench 2003).	Sambe
xac	59,000 (IMA 1997).	Kachari
nrk	18 (2012 AUSTLANG).	Ngarla
nri	83,600 (2001 census).	Naga, Chokri
nrm	Ethnic population: 4,000. Population includes about 1,000 Bakong, 1,000 Dali’, and 1,000 Miri’ (2012 SIL).	Narom
nrl	26 (2006 census).	Ngarluma
nrb	108,000 (2010 J. Leclerc), increasing.	Nara
nra	8,240 (2000). Total users in all countries: 12,770.	Ngom
nrg	160 (Wurm and Hattori 1981). Ethnic population: 230.	Narango
nrf	1,700 (2011 census). Ethnic population: 45,380 Norman French ethnic population in the Channel Islands (2014 A. Stuart). Total users in all countries: 18,920.	Jèrriais
nre	21,000 (1997). 61,345 total Rengma (2001 census).	Naga, Southern Rengma
nrz	3,000 (2007 SIL).	Lala
nrx	No known L1 speakers.	Ngurmbur
nrr	No known L1 speakers.	Nora
nru	47,000 (2010 SIL). Ethnic population: 47,000.	Narua
mlb	110 (2009 SIL). No monolinguals.	Mbule
mlc	169,000 (2009 census).	Cao Lan
mla	4,000 (Lynch and Crowley 2001), increasing.	Malo
mlf	23,200 (1995 census). Total users in all countries: 26,700.	Mal
mlg	18,138,380 A macrolanguage. Population total all languages: 18,138,380	Malagasy
mle	2,110 (2003 SIL).	Manambu
mlj	270 (1993 census).	Miltu
mlk	16,800 (2009 census), increasing.	Kiwilwana
mlh	1,700 (2000 census). Ethnic population: 7,000.	Mape
mli	5,000 (1986 SIL).	Malimpung
mln	4,140 (1999 SIL).	Malango
mlo	6,200 (2015 J. Leclerc).	Mlomp
mll	500 (Lynch and Crowley 2001). Ethnic population: 715 (2001).	Malua Bay
mlm	86,000 (2005 GXLOUS). Fewer than 10,000 monolinguals (including women and preschool children). Ethnic population: 210,000 (2000 census).	Mulam
mlr	8,500 (1992 SIL). Few monolinguals.	Vame
mls	350,000 (2011 SIL). Total users in all countries: 440,000.	Masalit
mlp	3,750 (2003 SIL). Ethnic population: 6,640 (2000 census).	Bargam
mlq	1,300,000 (2015 J. Leclerc). Total users in all countries: 1,733,000.	Maninkakan, Western
mlv	1,800 (2007 A. François), increasing.	Mwotlap
mlw	8,500 (1992 SIL).	Moloko
mlt	393,000 (European Commission 2012). Total users in all countries: 474,310.	Maltese
mlu	12,600 (1999 SIL).	To’abaita
mlz	8,500 (1973 SIL).	Malaynon
mlx	600 (1983 SIL).	Na’ahai
psh	100,000 (2011 SIL).	Pashai, Southwest
vot	68 (2010 census). Last speakers of East Vod dialect died in the 1960s. Ethnic population: 73.	Vod
amj	41,100 (2000). Population lower in Wadi Fira (home region) than in Batha and Ouaddaï regions.	Amdang
vor		Voro
psn	800 (2004 SIL). Ethnic population: 800.	Panasuan
pso	38,000 (2014 IMB). 50,000 signers (2014 EUD).	Polish Sign Language
psl	8,000–40,000 deaf persons (Van Cleve 1986).	Puerto Rican Sign Language
psm	No known L1 speakers. Ethnic population: 46 (Adelaar 2004).	Pauserna
psa	6,500 (2002 SIL).	Awyu, Asue
rdb		Rudbari
psd	75 in United States (2015 M. McKay-Cody), all users. Total users in all countries: 75.	Plains Indian Sign Language
pse	1,590,000 (2000 census).	Malay, Central
knn	2,420,000 (2001 census). Total users in all countries: 2,423,540.	Konkani
kno	295,000, all users. L1 users: 270,000 (2016). L2 users: 25,000 (1981 D. Cranmer).	Kono
knl	32,000 (2007 SIL).	Keninjal
knm	1,330 (Moore 2006). 100 Tsohom-Djapa speakers (Crevels 2007). Ethnic population: 2,750 (2006 FUNASA).	Kanamarí
knj	48,500 (1998). Total users in all countries: 58,130.	Akateko
knk	356,000 (2016). Total users in all countries: 411,200.	Kuranko
kni	10,400 (2000).	Kanufi
knf	50,000 (2016). Total users in all countries: 85,200.	Mankanya
kng	8,000,000 in Democratic Republic of the Congo, all users. L1 users: 3,000,000 (1982 UBS). L2 users: 5,000,000. Total users in all countries: 10,016,500 (as L1: 5,016,500; as L2: 5,000,000).	Koongo
knd	500 (1988 SIL).	Konda
kne	150,000 (1991 SIL). All Kankanai 218,000 (1990 census).	Kankanaey
knb	30,000 (2008 V. Dumatog), increasing.	Kalinga, Lubuagan
